date,race_time_NSW,track_location,x_race_number_idx,x_first_horse_name,x_first_win_percent
2025-03-27,16:57:00,Albany,1.0,LYN’S STAR,0.2836134340853192
2025-03-27,17:37:00,Albany,2.0,WHERE’S MY LUNCH,0.2922544312286527
2025-03-27,18:10:00,Albany,3.0,WINEACLOCKSUMWHERE,0.2410314206825811
2025-03-27,18:50:00,Albany,4.0,LADY COCO,0.2460634194236436
2025-03-27,19:30:00,Albany,5.0,GAGE ROADS,0.3337051972886367
2025-03-27,20:00:00,Albany,6.0,MANAVENDRA,0.2340600300934506
2025-03-27,20:30:00,Albany,7.0,CALL OF DUTY,0.4407333647507327
2025-03-27,13:50:00,Gosford,1.0,DWAYNE,0.2772862625688536
2025-03-27,14:25:00,Gosford,2.0,IMPERIAL STATE,0.3803897799850541
2025-03-27,15:05:00,Gosford,3.0,OAKFIELD SATURN,0.3357369815266961
2025-03-27,15:40:00,Gosford,4.0,BE QUIET (NZ),0.2173565832646541
2025-03-27,16:15:00,Gosford,5.0,OUR UPTOWN GIRL,0.2377121790001583
2025-03-27,16:50:00,Gosford,6.0,SNEAKY SOFIA,0.2435377747873539
2025-03-27,17:30:00,Gosford,7.0,STAR LEGACY,0.2254645802363069
2025-03-27,17:45:00,Sportsbet-Pakenham,1.0,BAFFLECK,0.3101981216146512
2025-03-27,18:15:00,Sportsbet-Pakenham,2.0,ACT NATURAL,0.2577923978135975
2025-03-27,18:45:00,Sportsbet-Pakenham,3.0,ZWASP,0.2455555257721628
2025-03-27,19:15:00,Sportsbet-Pakenham,4.0,KADDARI,0.2780364956296367
2025-03-27,19:45:00,Sportsbet-Pakenham,5.0,FLUENT,0.3818829735114372
2025-03-27,20:15:00,Sportsbet-Pakenham,6.0,TRANGOOJAHRAY,0.3948029741957001
2025-03-27,20:45:00,Sportsbet-Pakenham,7.0,SIRIUS STATEMENT,0.3537178792911661
2025-03-27,21:15:00,Sportsbet-Pakenham,8.0,KOKAKO (NZ),0.2657482595151659
2025-03-27,13:30:00,Ararat,1.0,THINK LIKE PADDY (NZ),0.2035360446765972
2025-03-27,14:00:00,Ararat,2.0,MISS SLIPSTREAM,0.5263604358360646
2025-03-27,14:30:00,Ararat,3.0,GIN BABA (GB),0.2838494470923062
2025-03-27,15:00:00,Ararat,4.0,MARINA DI CAMPO,0.3168888011744469
2025-03-27,15:30:00,Ararat,5.0,BLACKFISH,0.1795197719757768
2025-03-27,16:00:00,Ararat,6.0,FOXY HEART,0.191580231924168
2025-03-27,16:30:00,Ararat,7.0,INNOCENT ENUFF,0.2339479475916599
2025-03-27,17:00:00,Ararat,8.0,A DIME APPROACH,0.194493553622771
2025-03-28,18:10:00,Launceston,1.0,SMART ARTIE,0.5891897118224845
2025-03-28,18:50:00,Launceston,2.0,NO ACCESS,0.2939894596959413
2025-03-28,19:30:00,Launceston,3.0,ZUNI,0.3214430928218013
2025-03-28,20:00:00,Launceston,4.0,TAROONA,0.3991806527595806
2025-03-28,20:30:00,Launceston,5.0,TURK WARRIOR,0.4397894642690698
2025-03-28,21:00:00,Launceston,6.0,HURRICANE KETUT,0.3558415104890761
2025-03-28,21:30:00,Launceston,7.0,ASHFALL,0.3086517902362166
2025-03-28,22:00:00,Launceston,8.0,PEROLA,0.4670174838349109
2025-03-28,12:55:00,Wellington,1.0,BYRON’S FARM,0.2506165368695291
2025-03-28,14:10:00,Wellington,3.0,BOLO MISS,0.4053698887122116
2025-03-28,14:45:00,Wellington,4.0,SHADOW SHOT,0.2756556423722196
2025-03-28,15:25:00,Wellington,5.0,TAINUI,0.3745395972999606
2025-03-28,16:05:00,Wellington,6.0,DIZE,0.3025371473678711
2025-03-28,16:40:00,Wellington,7.0,DAO SUN,0.1634075943496551
2025-03-28,17:15:00,Wellington,8.0,THE MANAGER,0.1721679664615437
2025-03-28,17:55:00,Wellington,9.0,DONNA EMILIA,0.2503807807561917
2025-03-28,13:10:00,Muswellbrook,1.0,TELLING,0.5654285052611041
2025-03-28,13:50:00,Muswellbrook,2.0,CLIMATE CONTROL,0.2716859794507088
2025-03-28,12:00:00,Warrnambool,1.0,LOFT (GER),0.474533730234802
2025-03-28,12:40:00,Warrnambool,2.0,BLOOD AND SAND,0.2661463704384262
2025-03-28,13:20:00,Warrnambool,3.0,TOM FOOLERY,0.3197937961671251
2025-03-28,14:00:00,Warrnambool,4.0,ANORTHERNBELLE,0.582405144075215
2025-03-28,14:30:00,Warrnambool,5.0,MISS TALLCHIEF,0.3627233286969964
2025-03-28,15:00:00,Warrnambool,6.0,ALCOSHARE,0.2734685969965675
2025-03-28,15:30:00,Warrnambool,7.0,MARK OF THE MAN (IRE),0.2923156735786912
2025-03-28,16:00:00,Warrnambool,8.0,GIRLS GIRLS GIRLS,0.4473244285577882
2025-03-28,13:57:00,Toowoomba,1.0,SUNNY DISPOSITION,0.2933245902366425
2025-03-28,14:34:00,Toowoomba,2.0,EARL OF DEVON (NZ),0.2267423704351055
2025-03-28,15:12:00,Toowoomba,3.0,SHOWS A SIGN,0.2798325007891776
